geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,DIRECT_PHYSICAL,90.0,1.1699533972121371e-53,0.0,False,1.1782243164994632e-49
a050_i050,L224,localized,DIRECT_PHYSICAL,92.0,4.5008186418982935e-60,0.0,False,4.526359001155935e-56
a050_i050,L224,localized,DIRECT_PHYSICAL,94.0,7.127203225230551e-67,0.0,False,7.16002531212784e-63
a050_i050,L224,localized,DIRECT_PHYSICAL,96.0,4.6447426678058574e-74,0.0,False,4.662289583344485e-70
a050_i050,L224,localized,DIRECT_PHYSICAL,98.0,1.2455145543679733e-81,0.0,False,1.2494155699307502e-77
a050_i050,L224,localized,DIRECT_PHYSICAL,100.0,1.3741211285800513e-89,0.0,False,1.3777265025884228e-85
a050_i050,L224,localized,DIRECT_PHYSICAL,102.0,6.236570761841584e-98,0.0,False,6.250418233551572e-94
a050_i050,L224,localized,DIRECT_PHYSICAL,104.0,1.1643281780537923e-106,0.0,False,1.1665376206042648e-102
a050_i050,L224,localized,DIRECT_PHYSICAL,106.0,8.940964166236593e-116,0.0,False,8.95560349490422e-112
a050_i050,L224,localized,DIRECT_PHYSICAL,108.0,2.823894722809897e-125,0.0,False,2.827921045453757e-121
a050_i050,L224,localized,DIRECT_PHYSICAL,110.0,3.668155145688264e-135,0.0,False,3.67274984376794e-131
a050_i050,L224,localized,DIRECT_PHYSICAL,112.0,1.9595889733139293e-145,0.0,False,1.9617635246422544e-141
a050_i050,L224,localized,DIRECT_PHYSICAL,114.0,4.3051272526243934e-156,0.0,False,4.309393479613558e-152
a050_i050,L224,localized,DIRECT_PHYSICAL,116.0,3.889541502604089e-167,0.0,False,3.8930094653115847e-163
a050_i050,L224,localized,DIRECT_PHYSICAL,118.0,1.4450791348526718e-178,0.0,False,1.446246632491018e-174
a050_i050,L224,localized,DIRECT_PHYSICAL,120.0,2.20778331248556e-190,0.0,False,2.2094103106108675e-186
a050_i050,L224,localized,RESOLVED_PHYSICAL,0.0,0.23192103389177826,1.1635842608620449e-11,True,51.81909874046939
a050_i050,L224,localized,RESOLVED_PHYSICAL,2.0,0.256055806816566,7.115577681578822e-11,True,56.853617363598154
a050_i050,L224,localized,RESOLVED_PHYSICAL,4.0,0.2833236523331404,4.322078712143099e-10,True,62.1146970956193
a050_i050,L224,localized,RESOLVED_PHYSICAL,6.0,0.31347260653277575,2.2790676221134496e-09,True,67.73533664015169
a050_i050,L224,localized,RESOLVED_PHYSICAL,8.0,0.3474318518169943,9.892306971814938e-09,True,73.59403923942824
a050_i050,L224,localized,RESOLVED_PHYSICAL,10.0,0.3861691879431065,4.4830524653570536e-08,True,79.83851290477126
a050_i050,L224,localized,RESOLVED_PHYSICAL,12.0,0.4344573611377538,1.7849260285174708e-07,True,86.6029206457073
a050_i050,L224,localized,RESOLVED_PHYSICAL,14.0,0.4973277987775365,5.746066138811704e-07,True,93.21549439538278
a050_i050,L224,localized,RESOLVED_PHYSICAL,16.0,0.5587123713087547,1.6066876572574705e-06,True,98.5968212238573
a050_i050,L224,localized,RESOLVED_PHYSICAL,18.0,0.6015656852779152,3.886408675672226e-06,True,102.04987174357208
a050_i050,L224,localized,RESOLVED_PHYSICAL,20.0,0.6269775054744458,5.108512046333956e-06,True,103.66811430981096
a050_i050,L224,localized,RESOLVED_PHYSICAL,22.0,0.641977877863253,3.0721993305722185e-06,True,104.2375391166084
a050_i050,L224,localized,RESOLVED_PHYSICAL,24.0,0.6501715808237296,1.7416478272302707e-06,True,104.6614283400273
a050_i050,L224,localized,RESOLVED_PHYSICAL,26.0,0.6533702791687461,1.0190160965448479e-06,True,105.2217495723937
a050_i050,L224,localized,RESOLVED_PHYSICAL,28.0,0.6509222889962896,6.511998485559542e-07,True,105.30192920643232
a050_i050,L224,localized,RESOLVED_PHYSICAL,30.0,0.6390381877430826,3.6325206879786693e-07,True,104.29730788684275
a050_i050,L224,localized,RESOLVED_PHYSICAL,32.0,0.6129129508475228,1.6662673249698232e-07,True,102.12589989429509
a050_i050,L224,localized,RESOLVED_PHYSICAL,34.0,0.5687424016170883,7.800661637230821e-08,True,99.08884813993295
a050_i050,L224,localized,RESOLVED_PHYSICAL,36.0,0.5054127447485119,4.6785936556251525e-08,True,95.3069277929311
a050_i050,L224,localized,RESOLVED_PHYSICAL,38.0,0.42724914955394033,2.394583673741425e-08,True,90.51401995191468
a050_i050,L224,localized,RESOLVED_PHYSICAL,40.0,0.34942064027855313,1.9126444895728505e-08,True,84.75323411329589
a050_i050,L224,localized,RESOLVED_PHYSICAL,42.0,0.28221258783348324,2.6673665074262433e-08,True,78.74421433605247
a050_i050,L224,localized,RESOLVED_PHYSICAL,44.0,0.228184626052225,4.517496231206445e-08,True,73.79587102130493
a050_i050,L224,localized,RESOLVED_PHYSICAL,46.0,0.18528382580259128,6.888437986887614e-08,True,70.58238291799442
a050_i050,L224,localized,RESOLVED_PHYSICAL,48.0,0.14865464789905203,1.0480896403114163e-07,True,67.73893518931065
a050_i050,L224,localized,RESOLVED_PHYSICAL,50.0,0.11648663774028578,1.5594992890932115e-07,True,64.1392148313455
a050_i050,L224,localized,RESOLVED_PHYSICAL,52.0,0.0869822290509,2.248203094954606e-07,True,59.35185935193647
a050_i050,L224,localized,RESOLVED_PHYSICAL,54.0,0.0591582723839591,3.069291978281823e-07,True,53.42922864581466
a050_i050,L224,localized,RESOLVED_PHYSICAL,56.0,0.034821968603572666,3.742041572534331e-07,True,46.6840018326344
a050_i050,L224,localized,RESOLVED_PHYSICAL,58.0,0.01631237051577495,3.746121626602931e-07,True,39.64356393763821
a050_i050,L224,localized,RESOLVED_PHYSICAL,60.0,0.0061245303125427655,3.606189085197527e-07,True,33.09328703982186
a050_i050,L224,localized,RESOLVED_PHYSICAL,62.0,0.0031326750028270864,2.611841458211898e-07,True,28.057033513216986
a050_i050,L224,localized,RESOLVED_PHYSICAL,64.0,0.0024100911615759467,2.477958964938725e-07,True,25.123290335966786
a050_i050,L224,localized,RESOLVED_PHYSICAL,66.0,0.0020197607493512636,2.539404114840275e-07,True,22.906797874553508
a050_i050,L224,localized,RESOLVED_PHYSICAL,68.0,0.0017263133233939775,2.426824441935577e-07,True,20.526216888257647
a050_i050,L224,localized,RESOLVED_PHYSICAL,70.0,0.001518625802199447,1.920220202974773e-07,True,18.06164486200624
a050_i050,L224,localized,RESOLVED_PHYSICAL,72.0,0.001355919716994087,1.38089084541011e-07,True,15.714365122158377
a050_i050,L224,localized,RESOLVED_PHYSICAL,74.0,0.001196822034056817,7.493162292257476e-08,True,13.65731464667757
a050_i050,L224,localized,RESOLVED_PHYSICAL,76.0,0.0010407165574875662,3.461674075184717e-08,True,11.93262701489154
a050_i050,L224,localized,RESOLVED_PHYSICAL,78.0,0.00089743447807382,1.5469127743922136e-08,True,10.500282086265383
a050_i050,L224,localized,RESOLVED_PHYSICAL,80.0,0.0007670826195346763,6.439932234376406e-09,True,9.27437581894769
a050_i050,L224,localized,RESOLVED_PHYSICAL,82.0,0.0006546890951900205,2.760300359960235e-09,True,8.178508957633378
a050_i050,L224,localized,RESOLVED_PHYSICAL,84.0,0.0005526774464785433,1.2811038865794297e-09,True,7.225862936380363
a050_i050,L224,localized,RESOLVED_PHYSICAL,86.0,0.00045650060187363566,5.985199194126263e-10,True,6.37001196885626
a050_i050,L224,localized,RESOLVED_PHYSICAL,88.0,0.00037243945734056084,2.785648716286207e-10,True,5.5849872898521475
a050_i050,L224,localized,RESOLVED_PHYSICAL,90.0,0.0002941171428321893,1.1303852984416973e-10,True,4.838377662258809
a050_i050,L224,localized,RESOLVED_PHYSICAL,92.0,0.00020288422704903947,3.9098516679048826e-11,True,3.9524768533652095
a050_i050,L224,localized,RESOLVED_PHYSICAL,94.0,0.00010915656780423876,1.707970902926415e-11,True,2.8187216303921785
a050_i050,L224,localized,RESOLVED_PHYSICAL,96.0,4.256394582432866e-05,8.382662446933974e-12,False,1.6440283952059376
a050_i050,L224,localized,RESOLVED_PHYSICAL,98.0,2.4893498929820673e-05,2.681429908606059e-12,False,0.8589183458518692
a050_i050,L224,localized,RESOLVED_PHYSICAL,100.0,1.617713162411888e-05,7.014626650436015e-13,False,0.4993907381624592
a050_i050,L224,localized,RESOLVED_PHYSICAL,102.0,1.014582981007731e-05,1.2567028385371798e-13,False,0.2979100200153163
a050_i050,L224,localized,RESOLVED_PHYSICAL,104.0,4.536564003389341e-06,1.9194277724691452e-14,False,0.16816029508001326
a050_i050,L224,localized,RESOLVED_PHYSICAL,106.0,3.1865884388845556e-06,4.4916701503763386e-15,False,0.11066711124786296
a050_i050,L224,localized,RESOLVED_PHYSICAL,108.0,2.465662533212275e-06,7.254675991052435e-16,False,0.08385251310507569
a050_i050,L224,localized,RESOLVED_PHYSICAL,110.0,1.6419587430209944e-06,3.6842218576702814e-17,False,0.05988202052014309
a050_i050,L224,localized,RESOLVED_PHYSICAL,112.0,1.1772798475678397e-06,1.1924081092822554e-18,False,0.03783630536214337
a050_i050,L224,localized,RESOLVED_PHYSICAL,114.0,7.125601961926088e-07,1.2449902748956901e-20,False,0.020337033930791733
a050_i050,L224,localized,RESOLVED_PHYSICAL,116.0,4.817648721576048e-07,9.77433766910656e-23,False,0.009363052061627604
a050_i050,L224,localized,RESOLVED_PHYSICAL,118.0,4.102943666005375e-07,0.0,False,0.004978931705251972
a050_i050,L224,localized,RESOLVED_PHYSICAL,120.0,3.137881069311882e-07,0.0,False,0.003220131593004374
a050_i050,L224,localized,UNRESOLVED_IMAGE,0.0,0.22676274294856508,1.138710988799408e-11,True,51.54286128525791
a050_i050,L224,localized,UNRESOLVED_IMAGE,2.0,0.2503592489210603,6.96224670618446e-11,True,56.5512660206778
a050_i050,L224,localized,UNRESOLVED_IMAGE,4.0,0.27700449194159227,4.229026476986351e-10,True,61.7836848013869
