geometry,kind,parent,child,parent_dimension,child_dimension,projection_residual
a050_i050,localized,L224,L448,224,448,3.338614853726044e-14
a050_i050,localized,L448,L1056,448,1056,1.507780633324564e-14
a050_i050,global,C224,C448_T,224,448,1.8405416080113926e-13
a050_i050,global,C448_T,C1056_ST,448,1056,9.349682486559098e-14
