model,count,median,min,max
cubic_log,1,1.417449053552869e-05,1.417449053552869e-05,1.417449053552869e-05
log,3,0.005021476099125897,0.004931701284562766,0.008637573318655951
raw,3,0.241051546973708,0.07043622666954129,0.7085937905784899
residual_cubic,1,1.4174490535523925e-05,1.4174490535523925e-05,1.4174490535523925e-05
structured,3,0.007948033221778844,0.006752505546771692,0.008253655136522042
