background,seed,method,source,acquisition,old_contrast_error
1,303,innovation,double,direct,0.7292201554294708
1,303,innovation,matched,all_orders,0.1003712761232946
1,303,innovation,single,all_orders,0.5086450633202472
1,303,innovation,double,all_orders,0.4229229496711446
1,303,spline_ridge,matched,direct,0.9780187736064072
1,303,spline_ridge,single,direct,0.9856862736564904
1,303,spline_ridge,double,direct,0.979391623310224
1,303,spline_ridge,matched,all_orders,0.1530785584853566
1,303,spline_ridge,single,all_orders,0.2038371607809647
1,303,spline_ridge,double,all_orders,0.4425154555243269
