regime,arm,estimator,snr0,selected_hyperparameter,selection_error,n_grid,at_max_regularization_end
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.01,0.6815224681450385,15,False
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.6719053679813922,21,False
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.5393011153869315,15,False
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.5021611303443597,21,False
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,0.01,0.6567603388448108,15,False
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.5980188718902684,21,False
oracle_known,TOTAL_FLUX,TSVD,100.0,0.001,0.7055153341046386,15,False
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-10,0.7055154067423891,21,False
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.6613277176876536,15,False
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,0.6509267639370634,21,False
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.5354078927288769,15,False
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.4984866996444514,21,False
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,0.01,0.6427847165266866,15,False
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.6160207682795936,21,False
estimated_from_data,TOTAL_FLUX,TSVD,100.0,0.001,0.7015477709919947,15,False
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-10,0.7015478454262633,21,False
joint_inversion,DIRECT_PHYSICAL,TSVD,100.0,0.1,0.670022670312952,15,False
joint_inversion,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.658811712644902,21,False
joint_inversion,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.5494734156413109,15,False
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.506766742442703,21,False
joint_inversion,UNRESOLVED_IMAGE,TSVD,100.0,0.01,0.6166598635869268,15,False
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.0001,0.5899382446427293,21,False
joint_inversion,TOTAL_FLUX,TSVD,100.0,0.001,0.6892093216367243,15,False
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-08,0.6892055577727286,21,False
