snr0,gamma,tau,threshold,n_max,temporal_depth
1401017.3534971217,0.4,1.0,5.0,31,31.0
1484390.3322642567,0.4,1.0,5.0,31,31.0
1572724.743929531,0.4,1.0,5.0,31,31.0
1666315.8378263265,0.4,1.0,5.0,31,31.0
1765476.4332462605,0.4,1.0,5.0,31,31.0
1870537.9650078083,0.4,1.0,5.0,32,32.0
1981851.591245512,0.4,1.0,5.0,32,32.0
2099789.3671225114,0.4,1.0,5.0,32,32.0
2224745.4883893705,0.4,1.0,5.0,32,32.0
2357137.608945747,0.4,1.0,5.0,32,32.0
2497408.236808644,0.4,1.0,5.0,32,32.0
2646026.2131531765,0.4,1.0,5.0,32,32.0
2803488.2793694427,0.4,1.0,5.0,33,33.0
2970320.73737316,0.4,1.0,5.0,33,33.0
3147081.2087195287,0.4,1.0,5.0,33,33.0
3334360.498400048,0.4,1.0,5.0,33,33.0
3532784.5695517487,0.4,1.0,5.0,33,33.0
3743016.6356791975,0.4,1.0,5.0,33,33.0
3965759.3773822575,0.4,1.0,5.0,33,33.0
4201757.290998918,0.4,1.0,5.0,34,34.0
4451799.177013173,0.4,1.0,5.0,34,34.0
4716720.776545258,0.4,1.0,5.0,34,34.0
4997407.56473658,0.4,1.0,5.0,34,34.0
5294797.710365759,0.4,1.0,5.0,34,34.0
5609885.211588138,0.4,1.0,5.0,34,34.0
5943723.218279725,0.4,1.0,5.0,34,34.0
6297427.552090019,0.4,1.0,5.0,35,35.0
6672180.435969318,0.4,1.0,5.0,35,35.0
7069234.445635948,0.4,1.0,5.0,35,35.0
7489916.696191037,0.4,1.0,5.0,35,35.0
7935633.277873942,0.4,1.0,5.0,35,35.0
8407873.95578451,0.4,1.0,5.0,35,35.0
8908217.149280727,0.4,1.0,5.0,35,35.0
9438335.2076946,0.4,1.0,5.0,36,36.0
10000000.0,0.4,1.0,5.0,36,36.0
10.0,0.7,1.0,5.0,0,0.0
10.595088837115584,0.7,1.0,5.0,1,1.0
11.225590746637126,0.7,1.0,5.0,1,1.0
11.893613120972308,0.7,1.0,5.0,1,1.0
12.601388761098514,0.7,1.0,5.0,1,1.0
13.351283339486864,0.7,1.0,5.0,1,1.0
14.145803307136456,0.7,1.0,5.0,1,1.0
14.987604271147418,0.7,1.0,5.0,1,1.0
15.879499870833994,0.7,1.0,5.0,1,1.0
16.824471182045162,0.7,1.0,5.0,1,1.0
17.82567668112595,0.7,1.0,5.0,1,1.0
18.886462801822915,0.7,1.0,5.0,1,1.0
20.01037512041927,0.7,1.0,5.0,1,1.0
21.20117020648497,0.7,1.0,5.0,2,2.0
22.462828178851645,0.7,1.0,5.0,2,2.0
23.799566008779642,0.7,1.0,5.0,2,2.0
25.21585161478167,0.7,1.0,5.0,2,2.0
26.716418796213624,0.7,1.0,5.0,2,2.0
28.30628305554681,0.7,1.0,5.0,2,2.0
29.990758362205803,0.7,1.0,5.0,2,2.0
31.775474914003755,0.7,1.0,5.0,2,2.0
33.666397955540766,0.7,1.0,5.0,2,2.0
35.66984771646407,0.7,1.0,5.0,2,2.0
37.792520536232146,0.7,1.0,5.0,2,2.0
40.04151124598947,0.7,1.0,5.0,2,2.0
42.42433688236211,0.7,1.0,5.0,3,3.0
44.948961812434604,0.7,1.0,5.0,3,3.0
47.62382435388603,0.7,1.0,5.0,3,3.0
50.457864979261146,0.7,1.0,5.0,3,3.0
53.46055619864551,0.7,1.0,5.0,3,3.0
56.64193422062594,0.7,1.0,5.0,3,3.0
60.01263249735894,0.7,1.0,5.0,3,3.0
63.583917265868735,0.7,1.0,5.0,3,3.0
67.36772520436871,0.7,1.0,5.0,3,3.0
71.3767033294677,0.7,1.0,5.0,3,3.0
75.6242512676154,0.7,1.0,5.0,3,3.0
80.12456604207365,0.7,1.0,5.0,3,3.0
84.89268952511044,0.7,1.0,5.0,4,4.0
89.94455871402172,0.7,1.0,5.0,4,4.0
95.29705899902189,0.7,1.0,5.0,4,4.0
100.9680806010482,0.7,1.0,5.0,4,4.0
106.97657836811517,0.7,1.0,5.0,4,4.0
113.34263513008393,0.7,1.0,5.0,4,4.0
120.08752882360163,0.7,1.0,5.0,4,4.0
127.23380361157369,0.7,1.0,5.0,4,4.0
134.80534523487418,0.7,1.0,5.0,4,4.0
142.82746084815287,0.7,1.0,5.0,4,4.0
151.32696360658267,0.7,1.0,5.0,4,4.0
160.33226228627012,0.7,1.0,5.0,4,4.0
169.87345623787493,0.7,1.0,5.0,5,5.0
179.98243599081505,0.7,1.0,5.0,5,5.0
190.69298984431538,0.7,1.0,5.0,5,5.0
202.04091680157043,0.7,1.0,5.0,5,5.0
214.06414622449162,0.7,1.0,5.0,5,5.0
226.80286460897884,0.7,1.0,5.0,5,5.0
240.29964990444302,0.7,1.0,5.0,5,5.0
254.59961382653483,0.7,1.0,5.0,5,5.0
269.75055263874566,0.7,1.0,5.0,5,5.0
285.80310690685354,0.7,1.0,5.0,5,5.0
302.8109307601757,0.7,1.0,5.0,5,5.0
320.8308712253716,0.7,1.0,5.0,5,5.0
339.9231582322001,0.7,1.0,5.0,6,6.0
360.1516059263063,0.7,1.0,5.0,6,6.0
381.5838259619057,0.7,1.0,5.0,6,6.0
404.29145348728406,0.7,1.0,5.0,6,6.0
428.350386578436,0.7,1.0,5.0,6,6.0
453.8410399211335,0.7,1.0,5.0,6,6.0
480.8486135893327,0.7,1.0,5.0,6,6.0
509.46337781828464,0.7,1.0,5.0,6,6.0
539.780974724171,0.7,1.0,5.0,6,6.0
571.9027379787431,0.7,1.0,5.0,6,6.0
605.9360315074416,0.7,1.0,5.0,6,6.0
641.9946083430622,0.7,1.0,5.0,6,6.0
680.1989908343966,0.7,1.0,5.0,7,7.0
720.6768734806797,0.7,1.0,5.0,7,7.0
763.5635497382514,0.7,1.0,5.0,7,7.0
809.0023642260102,0.7,1.0,5.0,7,7.0
857.1451918411111,0.7,1.0,5.0,7,7.0
908.1529453863058,0.7,1.0,5.0,7,7.0
962.1961134056091,0.7,1.0,5.0,7,7.0
1019.4553300259765,0.7,1.0,5.0,7,7.0
1080.1219787096213,0.7,1.0,5.0,7,7.0
1144.39883193495,0.7,1.0,5.0,7,7.0
1212.5007289442108,0.7,1.0,5.0,7,7.0
1284.6552938231323,0.7,1.0,5.0,7,7.0
1361.1036963126903,0.7,1.0,5.0,8,8.0
1442.1014578959353,0.7,1.0,5.0,8,8.0
1527.9193058541327,0.7,1.0,5.0,8,8.0
1618.844078146852,0.7,1.0,5.0,8,8.0
1715.179682140439,0.7,1.0,5.0,8,8.0
1817.2481103893613,0.7,1.0,5.0,8,8.0
1925.390516865572,0.7,1.0,5.0,8,8.0
2039.9683572330616,0.7,1.0,5.0,8,8.0
2161.364596978904,0.7,1.0,5.0,8,8.0
2289.984991438802,0.7,1.0,5.0,8,8.0
2426.2594419955467,0.7,1.0,5.0,8,8.0
2570.6434329833314,0.7,1.0,5.0,8,8.0
2723.6195541006164,0.7,1.0,5.0,9,9.0
2885.699113420118,0.7,1.0,5.0,9,9.0
3057.4238463871848,0.7,1.0,5.0,9,9.0
3239.367726518784,0.7,1.0,5.0,9,9.0
3432.138883855167,0.7,1.0,5.0,9,9.0
3636.3816375764204,0.7,1.0,5.0,9,9.0
3852.778649577804,0.7,1.0,5.0,9,9.0
4082.0532062019065,0.7,1.0,5.0,9,9.0
4324.971635754167,0.7,1.0,5.0,9,9.0
4582.345869882053,0.7,1.0,5.0,9,9.0
4855.036157379002,0.7,1.0,5.0,9,9.0
5143.953939483883,0.7,1.0,5.0,9,9.0
5450.064896286245,0.7,1.0,5.0,9,9.0
5774.392174419788,0.7,1.0,5.0,10,10.0
6118.019806832271,0.7,1.0,5.0,10,10.0
6482.09633606206,0.7,1.0,5.0,10,10.0
6867.838653131899,0.7,1.0,5.0,10,10.0
7276.536064890875,0.7,1.0,5.0,10,10.0
7709.554603399424,0.7,1.0,5.0,10,10.0
8168.341591761035,0.7,1.0,5.0,10,10.0
8654.430481661424,0.7,1.0,5.0,10,10.0
9169.445978784384,0.7,1.0,5.0,10,10.0
9715.109473235287,0.7,1.0,5.0,10,10.0
10293.244793123098,0.7,1.0,5.0,10,10.0
10905.78430053166,0.7,1.0,5.0,10,10.0
11554.775350255331,0.7,1.0,5.0,11,11.0
12242.387132886877,0.7,1.0,5.0,11,11.0
12970.917925129741,0.7,1.0,5.0,11,11.0
13742.80277156845,0.7,1.0,5.0,11,11.0
14560.621623572591,0.7,1.0,5.0,11,11.0
15427.107962537768,0.7,1.0,5.0,11,11.0
16345.157936286076,0.7,1.0,5.0,11,11.0
17317.840039163606,0.7,1.0,5.0,11,11.0
18348.405368189557,0.7,1.0,5.0,11,11.0
19440.298489537712,0.7,1.0,5.0,11,11.0
20597.168951669584,0.7,1.0,5.0,11,11.0
21822.883483601803,0.7,1.0,5.0,11,11.0
23121.53891907834,0.7,1.0,5.0,12,12.0
24497.47588984603,0.7,1.0,5.0,12,12.0
25955.293333801626,0.7,1.0,5.0,12,12.0
27499.8638665022,0.7,1.0,5.0,12,12.0
29136.35006741761,0.7,1.0,5.0,12,12.0
30870.221735358806,0.7,1.0,5.0,12,12.0
32707.274170758283,0.7,1.0,5.0,12,12.0
34653.647545907974,0.7,1.0,5.0,12,12.0
36715.84742789873,0.7,1.0,5.0,12,12.0
38900.76652285693,0.7,1.0,5.0,12,12.0
41215.707714156175,0.7,1.0,5.0,12,12.0
43668.40847160745,0.7,1.0,5.0,12,12.0
46267.06671321315,0.7,1.0,5.0,13,13.0
49020.36820592464,0.7,1.0,5.0,13,13.0
51937.515596988764,0.7,1.0,5.0,13,13.0
55028.2591729173,0.7,1.0,5.0,13,13.0
58302.9294488879,0.7,1.0,5.0,13,13.0
61772.47169750507,0.7,1.0,5.0,13,13.0
65448.4825323274,0.7,1.0,5.0,13,13.0
69343.24866844159,0.7,1.0,5.0,13,13.0
73469.78798963352,0.7,1.0,5.0,13,13.0
77841.89305942143,0.7,1.0,5.0,13,13.0
82474.17722138224,0.7,1.0,5.0,13,13.0
87382.1234428559,0.7,1.0,5.0,13,13.0
92582.13606528599,0.7,1.0,5.0,14,14.0
98091.59563416272,0.7,1.0,5.0,14,14.0
103928.91699183728,0.7,1.0,5.0,14,14.0
110113.61082737267,0.7,1.0,5.0,14,14.0
116666.34888915876,0.7,1.0,5.0,14,14.0
123609.03307825576,0.7,1.0,5.0,14,14.0
130964.86865340779,0.7,1.0,5.0,14,14.0
138758.44179240317,0.7,1.0,5.0,14,14.0
147015.80176902426,0.7,1.0,5.0,14,14.0
155764.54802025857,0.7,1.0,5.0,14,14.0
165033.92239477986,0.7,1.0,5.0,14,14.0
174854.90689103308,0.7,1.0,5.0,14,14.0
185260.32721160684,0.7,1.0,5.0,15,15.0
196284.96248000753,0.7,1.0,5.0,15,15.0
207965.6614865582,0.7,1.0,5.0,15,15.0
220341.46585195902,0.7,1.0,5.0,15,15.0
233453.74052017744,0.7,1.0,5.0,15,15.0
247346.3120168214,0.7,1.0,5.0,15,15.0
262065.61493511315,0.7,1.0,5.0,15,15.0
277660.8471390847,0.7,1.0,5.0,15,15.0
294184.13420273777,0.7,1.0,5.0,15,15.0
311690.7036347938,0.7,1.0,5.0,15,15.0
330239.06947137037,0.7,1.0,5.0,15,15.0
349891.22785355523,0.7,1.0,5.0,15,15.0
370712.8642435874,0.7,1.0,5.0,16,16.0
392773.5729722376,0.7,1.0,5.0,16,16.0
416147.0898512156,0.7,1.0,5.0,16,16.0
440911.53862807574,0.7,1.0,5.0,16,16.0
467149.6921073779,0.7,1.0,5.0,16,16.0
494949.248810886,0.7,1.0,5.0,16,16.0
524403.126101497,0.7,1.0,5.0,16,16.0
555609.7707506483,0.7,1.0,5.0,16,16.0
588673.487987254,0.7,1.0,5.0,16,16.0
623704.7901279647,0.7,1.0,5.0,16,16.0
660820.7659540328,0.7,1.0,5.0,16,16.0
700145.4720693739,0.7,1.0,5.0,16,16.0
741810.347547924,0.7,1.0,5.0,17,17.0
785954.6532561855,0.7,1.0,5.0,17,17.0
832725.9373193656,0.7,1.0,5.0,17,17.0
882280.5282869018,0.7,1.0,5.0,17,17.0
934784.0576457008,0.7,1.0,5.0,17,17.0
990412.013427557,0.7,1.0,5.0,17,17.0
1049350.3267611472,0.7,1.0,5.0,17,17.0
1111795.9933290617,0.7,1.0,5.0,17,17.0
1177957.7318070591,0.7,1.0,5.0,17,17.0
1248056.681486296,0.7,1.0,5.0,17,17.0
1322327.1414102968,0.7,1.0,5.0,17,17.0
1401017.3534971217,0.7,1.0,5.0,17,17.0
1484390.3322642567,0.7,1.0,5.0,18,18.0
1572724.743929531,0.7,1.0,5.0,18,18.0
1666315.8378263265,0.7,1.0,5.0,18,18.0
1765476.4332462605,0.7,1.0,5.0,18,18.0
1870537.9650078083,0.7,1.0,5.0,18,18.0
1981851.591245512,0.7,1.0,5.0,18,18.0
2099789.3671225114,0.7,1.0,5.0,18,18.0
2224745.4883893705,0.7,1.0,5.0,18,18.0
2357137.608945747,0.7,1.0,5.0,18,18.0
2497408.236808644,0.7,1.0,5.0,18,18.0
2646026.2131531765,0.7,1.0,5.0,18,18.0
2803488.2793694427,0.7,1.0,5.0,18,18.0
2970320.73737316,0.7,1.0,5.0,18,18.0
3147081.2087195287,0.7,1.0,5.0,19,19.0
3334360.498400048,0.7,1.0,5.0,19,19.0
3532784.5695517487,0.7,1.0,5.0,19,19.0
3743016.6356791975,0.7,1.0,5.0,19,19.0
3965759.3773822575,0.7,1.0,5.0,19,19.0
4201757.290998918,0.7,1.0,5.0,19,19.0
4451799.177013173,0.7,1.0,5.0,19,19.0
4716720.776545258,0.7,1.0,5.0,19,19.0
4997407.56473658,0.7,1.0,5.0,19,19.0
5294797.710365759,0.7,1.0,5.0,19,19.0
5609885.211588138,0.7,1.0,5.0,19,19.0
5943723.218279725,0.7,1.0,5.0,19,19.0
6297427.552090019,0.7,1.0,5.0,20,20.0
6672180.435969318,0.7,1.0,5.0,20,20.0
7069234.445635948,0.7,1.0,5.0,20,20.0
7489916.696191037,0.7,1.0,5.0,20,20.0
7935633.277873942,0.7,1.0,5.0,20,20.0
8407873.95578451,0.7,1.0,5.0,20,20.0
8908217.149280727,0.7,1.0,5.0,20,20.0
9438335.2076946,0.7,1.0,5.0,20,20.0
10000000.0,0.7,1.0,5.0,20,20.0
10.0,1.0,1.0,5.0,0,0.0
10.595088837115584,1.0,1.0,5.0,0,0.0
11.225590746637126,1.0,1.0,5.0,0,0.0
11.893613120972308,1.0,1.0,5.0,0,0.0
12.601388761098514,1.0,1.0,5.0,0,0.0
13.351283339486864,1.0,1.0,5.0,0,0.0
14.145803307136456,1.0,1.0,5.0,1,1.0
14.987604271147418,1.0,1.0,5.0,1,1.0
15.879499870833994,1.0,1.0,5.0,1,1.0
16.824471182045162,1.0,1.0,5.0,1,1.0
17.82567668112595,1.0,1.0,5.0,1,1.0
18.886462801822915,1.0,1.0,5.0,1,1.0
20.01037512041927,1.0,1.0,5.0,1,1.0
21.20117020648497,1.0,1.0,5.0,1,1.0
22.462828178851645,1.0,1.0,5.0,1,1.0
23.799566008779642,1.0,1.0,5.0,1,1.0
25.21585161478167,1.0,1.0,5.0,1,1.0
26.716418796213624,1.0,1.0,5.0,1,1.0
28.30628305554681,1.0,1.0,5.0,1,1.0
29.990758362205803,1.0,1.0,5.0,1,1.0
31.775474914003755,1.0,1.0,5.0,1,1.0
33.666397955540766,1.0,1.0,5.0,1,1.0
35.66984771646407,1.0,1.0,5.0,1,1.0
37.792520536232146,1.0,1.0,5.0,2,2.0
40.04151124598947,1.0,1.0,5.0,2,2.0
42.42433688236211,1.0,1.0,5.0,2,2.0
44.948961812434604,1.0,1.0,5.0,2,2.0
47.62382435388603,1.0,1.0,5.0,2,2.0
50.457864979261146,1.0,1.0,5.0,2,2.0
53.46055619864551,1.0,1.0,5.0,2,2.0
56.64193422062594,1.0,1.0,5.0,2,2.0
60.01263249735894,1.0,1.0,5.0,2,2.0
63.583917265868735,1.0,1.0,5.0,2,2.0
67.36772520436871,1.0,1.0,5.0,2,2.0
71.3767033294677,1.0,1.0,5.0,2,2.0
75.6242512676154,1.0,1.0,5.0,2,2.0
80.12456604207365,1.0,1.0,5.0,2,2.0
84.89268952511044,1.0,1.0,5.0,2,2.0
89.94455871402172,1.0,1.0,5.0,2,2.0
95.29705899902189,1.0,1.0,5.0,2,2.0
100.9680806010482,1.0,1.0,5.0,3,3.0
106.97657836811517,1.0,1.0,5.0,3,3.0
113.34263513008393,1.0,1.0,5.0,3,3.0
120.08752882360163,1.0,1.0,5.0,3,3.0
127.23380361157369,1.0,1.0,5.0,3,3.0
134.80534523487418,1.0,1.0,5.0,3,3.0
142.82746084815287,1.0,1.0,5.0,3,3.0
151.32696360658267,1.0,1.0,5.0,3,3.0
160.33226228627012,1.0,1.0,5.0,3,3.0
169.87345623787493,1.0,1.0,5.0,3,3.0
179.98243599081505,1.0,1.0,5.0,3,3.0
190.69298984431538,1.0,1.0,5.0,3,3.0
202.04091680157043,1.0,1.0,5.0,3,3.0
214.06414622449162,1.0,1.0,5.0,3,3.0
