order,empirical_rmse,theoretical_rmse,effective_snr
0,0.00010027799023888108,0.0001,10000.0
1,0.0002010843349867807,0.00020137527074704767,4965.853037914096
2,0.000405679905323159,0.00040551999668446745,2465.969639416065
3,0.0008170727663240117,0.0008166169912567646,1224.5642825298194
4,0.0016448230968984017,0.0016444646771097049,608.1006262521797
5,0.0033051307811407934,0.0033115451958692314,301.973834223185
6,0.006659384878323084,0.00666863310409251,149.95576820477717
7,0.013448298046341818,0.01342897796849354,74.46583070924345
8,0.027042568286946282,0.027042640742615254,36.97863716482932
9,0.05434884444563832,0.0544571910125929,18.36304777028907
10,0.10987629474494072,0.10966331584284585,9.118819655545163
11,0.2208535513443994,0.22083479918872068,4.5282718288679735
12,0.44356597823648913,0.444706674769985,2.248673241788486
13,0.8944177387726562,0.8955292703482508,1.1166580849011478
14,1.8037071777450198,1.8033744927828492,0.5545159943217703
15,3.63103577583589,3.6315502674246636,0.2753644934974716
16,7.334826285367755,7.313044183341544,0.13674196065680963
17,14.68149276864378,14.726662524055245,0.06790404807379483
