family,index,regime,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
plunging_feature,1,oracle_known,0.0,0.0,0.0,0.321312213627521,,
plunging_feature,2,oracle_known,0.0,0.0,0.0,0.21351332671544954,,
plunging_feature,3,oracle_known,0.0,0.0,0.0,0.22644679499778617,,
plunging_feature,4,oracle_known,0.0,0.0,0.0,0.2887353871837613,,
plunging_feature,5,oracle_known,0.0,0.0,0.0,0.24452106813463476,,
plunging_feature,6,oracle_known,0.0,0.0,0.0,0.21169430591226418,,
plunging_feature,7,oracle_known,0.0,0.0,0.0,0.30368899886163814,,
plunging_feature,8,oracle_known,0.0,0.0,0.0,0.2819973105867351,,
plunging_feature,9,oracle_known,0.0,0.0,0.0,0.4201925228712303,,
plunging_feature,10,oracle_known,0.0,0.0,0.0,0.18870971985340676,,
plunging_feature,11,oracle_known,0.0,0.0,0.0,0.17479956071615568,,
plunging_feature,12,oracle_known,0.0,0.0,0.0,0.24832312934549905,,
plunging_feature,13,oracle_known,0.0,0.0,0.0,0.23635400353625569,,
plunging_feature,14,oracle_known,0.0,0.0,0.0,0.3262407182268597,,
plunging_feature,15,oracle_known,0.0,0.0,0.0,0.25344205489692506,,
two_hotspot_trajectories,0,oracle_known,0.0,0.0,0.0,0.2594074285968014,,
two_hotspot_trajectories,1,oracle_known,0.0,0.0,0.0,0.3139989734579611,,
two_hotspot_trajectories,2,oracle_known,0.0,0.0,0.0,0.26747266822196636,,
two_hotspot_trajectories,3,oracle_known,0.0,0.0,0.0,0.22045776779037551,,
two_hotspot_trajectories,4,oracle_known,0.0,0.0,0.0,0.2676900691561366,,
two_hotspot_trajectories,5,oracle_known,0.0,0.0,0.0,0.17577648293441145,,
two_hotspot_trajectories,6,oracle_known,0.0,0.0,0.0,0.1776994609562766,,
two_hotspot_trajectories,7,oracle_known,0.0,0.0,0.0,0.33297086381386165,,
two_hotspot_trajectories,8,oracle_known,0.0,0.0,0.0,0.2933221168080484,,
two_hotspot_trajectories,9,oracle_known,0.0,0.0,0.0,0.4084613625044692,,
two_hotspot_trajectories,10,oracle_known,0.0,0.0,0.0,0.2658552925762845,,
two_hotspot_trajectories,11,oracle_known,0.0,0.0,0.0,0.3703982275276605,,
two_hotspot_trajectories,12,oracle_known,0.0,0.0,0.0,0.23612313723323647,,
two_hotspot_trajectories,13,oracle_known,0.0,0.0,0.0,0.34337914298781375,,
two_hotspot_trajectories,14,oracle_known,0.0,0.0,0.0,0.2389306426939306,,
two_hotspot_trajectories,15,oracle_known,0.0,0.0,0.0,0.40049649480164573,,
circular_hotspot_trajectory,0,estimated_from_data,0.010555532017308872,0.05490664934813272,-5.94923416086246e-16,0.3667816051127522,0.0,0.0
circular_hotspot_trajectory,1,estimated_from_data,0.013381726887851402,0.03170329217953549,-9.61340382299447e-16,0.22695651115852236,0.0,0.0
circular_hotspot_trajectory,2,estimated_from_data,0.01542249561323071,0.0736358737552758,-8.760353553682876e-18,0.2550286964474465,0.0,0.0
circular_hotspot_trajectory,3,estimated_from_data,0.008207206619685116,0.014358051119849002,-6.588046080890919e-16,0.22759842457731863,0.0,0.0
circular_hotspot_trajectory,4,estimated_from_data,0.007245532372096631,0.013418851065885695,-3.544256901855114e-16,0.3191967622527924,0.0,0.0
circular_hotspot_trajectory,5,estimated_from_data,0.013733215600582438,0.06682770796233606,-6.123573870198129e-16,0.3414300112819307,0.0,0.0
circular_hotspot_trajectory,6,estimated_from_data,0.01544347232542825,0.051793960013953755,-8.066464163292154e-18,0.3508294085529636,0.0,0.0
circular_hotspot_trajectory,7,estimated_from_data,0.03052368058263099,0.11657086970707442,-6.794044493663165e-16,0.3122695400680965,0.0,0.0
circular_hotspot_trajectory,8,estimated_from_data,0.015171325610136458,0.045134903136892945,-6.501743587961073e-16,0.3416134936052768,0.0,0.0
circular_hotspot_trajectory,9,estimated_from_data,0.014775429696406068,0.03879813329443316,-8.73389902067423e-16,0.23354469847081336,0.0,0.0
circular_hotspot_trajectory,10,estimated_from_data,0.01922190302682656,0.0758131222016778,-1.394717674685353e-15,0.3038681743788231,0.0,0.0
circular_hotspot_trajectory,11,estimated_from_data,0.015558167690798734,0.0677308329459212,-3.782564539367428e-16,0.3367724235149322,0.0,0.0
circular_hotspot_trajectory,12,estimated_from_data,0.01955855970902087,0.08129198485370082,-4.1616016188683603e-16,0.33197244752318916,0.0,0.0
circular_hotspot_trajectory,13,estimated_from_data,0.012542302297420567,0.042773439635358956,-1.0467321454044054e-15,0.21151153527909902,0.0,0.0
circular_hotspot_trajectory,14,estimated_from_data,0.03612936330978254,0.16191884317017124,-3.040102891649354e-17,0.37341009986056584,0.0,0.0
circular_hotspot_trajectory,15,estimated_from_data,0.02245128824609371,0.11497483816724618,-1.3482270855291746e-15,0.304558535396314,0.0,0.0
flare_birth_motion_decay,0,estimated_from_data,0.012422228221942482,0.05614887550186709,1.192015236517463e-15,0.39558055231068845,0.0,0.0
flare_birth_motion_decay,1,estimated_from_data,0.008631850249871807,0.03298421127154483,-1.2385925618474404e-16,0.27877490627895885,0.0,0.0
flare_birth_motion_decay,2,estimated_from_data,0.016817971088058194,0.034227912595595544,-1.25507243486922e-15,0.24733147613131812,0.0,0.0
flare_birth_motion_decay,3,estimated_from_data,0.01609935017577716,0.07047420681610239,-1.252296877307657e-15,0.4716022865340966,0.0,0.0
flare_birth_motion_decay,4,estimated_from_data,0.057743629975441906,0.16552652200216889,-1.5126788710517758e-16,0.3019720279503501,0.0,0.0
flare_birth_motion_decay,5,estimated_from_data,0.013086263846960561,0.02805999653924318,-2.3054474995731767e-16,0.21635801448140152,0.0,0.0
flare_birth_motion_decay,6,estimated_from_data,0.012856487650599394,0.042225912148277533,-8.41080677327355e-16,0.30142144643029856,0.0,0.0
flare_birth_motion_decay,7,estimated_from_data,0.012416350814231526,0.021078596138699668,-7.318798345146149e-16,0.37476245911816713,0.0,0.0
flare_birth_motion_decay,8,estimated_from_data,0.010666365760980841,0.031010642482121265,-2.9733160378242475e-16,0.315794120164703,0.0,0.0
flare_birth_motion_decay,9,estimated_from_data,0.007234760425163847,0.015101417180375387,-6.331740687315346e-18,0.28041821119838545,0.0,0.0
flare_birth_motion_decay,10,estimated_from_data,0.017654559708080584,0.03030800530760147,-8.304121279500975e-16,0.22894071067222177,0.0,0.0
flare_birth_motion_decay,11,estimated_from_data,0.019834750696176448,0.0761424282594485,-1.270858418500609e-15,0.23783639108894752,0.0,0.0
flare_birth_motion_decay,12,estimated_from_data,0.009398503763711376,0.03178729477640552,-5.0935818063369e-16,0.3022760751873686,0.0,0.0
flare_birth_motion_decay,13,estimated_from_data,0.011838056873609391,0.020298992335510135,-5.30218230432311e-16,0.20108430386186996,0.0,0.0
flare_birth_motion_decay,14,estimated_from_data,0.009715220794113449,0.04821554797286076,-6.49827414100912e-16,0.30528508188913656,0.0,0.0
flare_birth_motion_decay,15,estimated_from_data,0.019463800964085922,0.08881807670796227,-3.4330177589581013e-16,0.3334732356269023,0.0,0.0
m1_rotating_crescent,0,estimated_from_data,0.010039570526457046,0.016736783559371915,-6.608429081733646e-16,0.25504284016952383,0.0,0.0
m1_rotating_crescent,1,estimated_from_data,0.009911019258886248,0.027243121908248735,-9.77950359581925e-16,0.3117421353878674,0.0,0.0
m1_rotating_crescent,2,estimated_from_data,0.015351981210217316,0.023459106304607902,-6.059389101586987e-16,0.22411416999564984,0.0,0.0
m1_rotating_crescent,3,estimated_from_data,0.020253905228691433,0.06186089564784991,-7.44369843541648e-16,0.21343561011162956,0.0,0.0
m1_rotating_crescent,4,estimated_from_data,0.05583859404179283,0.21702466550732247,-3.714042962066344e-16,0.3612703700784669,0.0,0.0
m1_rotating_crescent,5,estimated_from_data,0.008556643384883596,0.026884361520460587,-4.459106694998383e-16,0.401148205417179,0.0,0.0
m1_rotating_crescent,6,estimated_from_data,0.01253616056601732,0.02685923342115948,-7.173948934902086e-16,0.20832540019711954,0.0,0.0
m1_rotating_crescent,7,estimated_from_data,0.013994349965197939,0.042738828044027954,-1.000241556248227e-15,0.20930918794228912,0.0,0.0
m1_rotating_crescent,8,estimated_from_data,0.013959579988958349,0.02713260067144252,-7.141856550596515e-16,0.3112315957213856,0.0,0.0
m1_rotating_crescent,9,estimated_from_data,0.02261604714931702,0.06210250962620023,-3.389649672058681e-16,0.21223936736351387,0.0,0.0
m1_rotating_crescent,10,estimated_from_data,0.01672786944451352,0.03854777706683454,-4.904930628324422e-16,0.23766931439965863,0.0,0.0
m1_rotating_crescent,11,estimated_from_data,0.013407126726140839,0.01808806267255425,-3.956904248703097e-16,0.20582971317851842,0.0,0.0
m1_rotating_crescent,12,estimated_from_data,0.011868646185579515,0.03294030540201587,-6.814861175374887e-16,0.2571247503112768,0.0,0.0
m1_rotating_crescent,13,estimated_from_data,0.012633571181851455,0.028890461973004156,-6.203371150093063e-16,0.21697674894712238,0.0,0.0
m1_rotating_crescent,14,estimated_from_data,0.015316310327003601,0.03220270776843792,-1.2221126888256606e-15,0.2757629302795455,0.0,0.0
m1_rotating_crescent,15,estimated_from_data,0.0070998815707713206,0.018606497597925875,-1.4172690798730514e-16,0.3244499228668597,0.0,0.0
m2_structural_mode,0,estimated_from_data,0.01997062281233451,0.06591324360297546,-6.019490461639521e-16,0.23522189348650083,0.0,0.0
m2_structural_mode,1,estimated_from_data,0.016708415589565682,0.05465277364814192,-1.289766904388756e-15,0.34113665533672755,0.0,0.0
m2_structural_mode,2,estimated_from_data,0.027109251753464333,0.08654443798701728,-1.826663820203578e-15,0.34898236236523417,0.0,0.0
m2_structural_mode,3,estimated_from_data,0.026326828901246886,0.09116502488817546,-1.0627349694702914e-15,0.3089305664772129,0.0,0.0
m2_structural_mode,4,estimated_from_data,0.01072407341105513,0.02947695948699014,-3.2421981766006526e-16,0.2588732179454964,0.0,0.0
m2_structural_mode,5,estimated_from_data,0.014873078047812927,0.034211103178465097,-9.705777848090236e-16,0.3226440291080769,0.0,0.0
m2_structural_mode,6,estimated_from_data,0.012469331616477689,0.0450794651024522,-7.020425907278138e-16,0.4990331540533909,0.0,0.0
m2_structural_mode,7,estimated_from_data,0.01456436785898862,0.03679078893875687,-5.060188379424346e-16,0.20113046563559128,0.0,0.0
m2_structural_mode,8,estimated_from_data,0.007541906993226505,0.028835799208149382,-7.118437783670828e-16,0.3052842638804481,0.0,0.0
m2_structural_mode,9,estimated_from_data,0.014287596250019829,0.03475698462529553,-8.500145032286355e-16,0.4000269342588958,0.0,0.0
m2_structural_mode,10,estimated_from_data,0.01759641263456938,0.050876134288025954,-4.848552115355176e-16,0.24993131341678076,0.0,0.0
m2_structural_mode,11,estimated_from_data,0.013219791634051476,0.04174554186146562,-6.881648029199994e-16,0.36126066801794243,0.0,0.0
m2_structural_mode,12,estimated_from_data,0.023038051880863587,0.07633822054780603,-9.524499244850659e-16,0.2571404035828092,0.0,0.0
m2_structural_mode,13,estimated_from_data,0.007055534158845976,0.017691182311142306,-5.496037652763519e-16,0.3288283567307026,0.0,0.0
m2_structural_mode,14,estimated_from_data,0.014307039590210683,0.026321264169726577,-2.4771851236948807e-16,0.20103161616235837,0.0,0.0
m2_structural_mode,15,estimated_from_data,0.009699488604737,0.039154296752337725,-8.168812848374784e-16,0.2808794489758044,0.0,0.0
plunging_feature,0,estimated_from_data,0.011225594559312962,0.03429225849563533,-7.023027992492104e-16,0.31775355443738207,0.0,0.0
plunging_feature,1,estimated_from_data,0.015407761961044977,0.04447047857838016,-5.858161178373677e-16,0.30958815361654063,0.0,0.0
plunging_feature,2,estimated_from_data,0.016916628988510412,0.038388965741578684,-6.180819744905364e-16,0.20749937890121117,0.0,0.0
plunging_feature,3,estimated_from_data,0.016048615390666175,0.04792446880569967,-8.680556273787942e-16,0.22246441744602158,0.0,0.0
plunging_feature,4,estimated_from_data,0.014731622257798732,0.02626454130969047,-3.828534711480813e-16,0.27769853092094726,0.0,0.0
plunging_feature,5,estimated_from_data,0.011254744670945366,0.027637421729135747,-6.794911855401153e-16,0.24321482726057456,0.0,0.0
plunging_feature,6,estimated_from_data,0.011024826969937956,0.021775004286224364,-3.219646771412954e-16,0.21264045592400008,0.0,0.0
plunging_feature,7,estimated_from_data,0.017274770403087943,0.06019968117886054,-6.879913305724017e-16,0.28919531227706696,0.0,0.0
plunging_feature,8,estimated_from_data,0.02205419608804458,0.07607410971542272,-3.615163723935666e-16,0.26320914062473694,0.0,0.0
plunging_feature,9,estimated_from_data,0.022246380310819727,0.06688462045828292,-3.6593991725730744e-16,0.4129057430852197,0.0,0.0
plunging_feature,10,estimated_from_data,0.020027383403911782,0.06180726287366878,-1.0373646386341306e-16,0.19761263557337783,0.0,0.0
plunging_feature,11,estimated_from_data,0.021638800799027247,0.055138167283594886,-4.3081857525884003e-16,0.1795033715825861,0.0,0.0
plunging_feature,12,estimated_from_data,0.019376498415839584,0.060183765854322724,-7.849623728795052e-16,0.23571513088176108,0.0,0.0
plunging_feature,13,estimated_from_data,0.01870774220992419,0.04142738059058648,-3.3410774147313304e-16,0.22404709306603937,0.0,0.0
plunging_feature,14,estimated_from_data,0.017271136303709148,0.07195072071370179,-7.500944310123713e-16,0.31273789018235254,0.0,0.0
plunging_feature,15,estimated_from_data,0.00957795373758985,0.018018796511204194,-7.439361626726538e-16,0.25775857726893997,0.0,0.0
two_hotspot_trajectories,0,estimated_from_data,0.010592111526236504,0.026572149838151038,-5.423612947641487e-16,0.2588910309235856,0.0,0.0
two_hotspot_trajectories,1,estimated_from_data,0.014485944912339573,0.02807463957581191,-9.379649834606597e-16,0.30120970746840053,0.0,0.0
two_hotspot_trajectories,2,estimated_from_data,0.0275972615529692,0.06962457912331765,-4.691125959910281e-16,0.2710372874840225,0.0,0.0
two_hotspot_trajectories,3,estimated_from_data,0.012874710679606048,0.040104474595969775,-8.602493717368986e-16,0.23675070200738899,0.0,0.0
two_hotspot_trajectories,4,estimated_from_data,0.01979834371477193,0.0642400751244343,-6.463579671489584e-16,0.2536669786373822,0.0,0.0
two_hotspot_trajectories,5,estimated_from_data,0.02559036928008904,0.06869500274629647,-4.794775687599894e-16,0.18062772899671023,0.0,0.0
two_hotspot_trajectories,6,estimated_from_data,0.021436374607383075,0.04822079964249171,-2.6471880243406075e-16,0.18318887462746722,0.0,0.0
two_hotspot_trajectories,7,estimated_from_data,0.012967160020549266,0.0432684356581603,-2.714408559034709e-16,0.3253198633069034,0.0,0.0
two_hotspot_trajectories,8,estimated_from_data,0.016518920129165216,0.026508816755051345,-4.3645642655576466e-16,0.2784980980339807,0.0,0.0
two_hotspot_trajectories,9,estimated_from_data,0.01554928517119211,0.05558534683852634,-7.265021917390868e-16,0.391925940564073,0.0,0.0
two_hotspot_trajectories,10,estimated_from_data,0.01956065005329865,0.08435842241667468,8.933825901280557e-18,0.2763964348929488,0.0,0.0
two_hotspot_trajectories,11,estimated_from_data,0.04709281777914455,0.1359165699349627,-6.142655828433874e-16,0.3727109766413737,0.0,0.0
two_hotspot_trajectories,12,estimated_from_data,0.011260266187701562,0.03413980694617602,-5.344683029484543e-16,0.23684021064228689,0.0,0.0
two_hotspot_trajectories,13,estimated_from_data,0.008524011037877758,0.024972446083216804,-6.426716797625076e-16,0.34074618101815374,0.0,0.0
two_hotspot_trajectories,14,estimated_from_data,0.00896391508500238,0.0278263284302539,-2.521420572332289e-16,0.2436755351381707,0.0,0.0
two_hotspot_trajectories,15,estimated_from_data,0.01389049404273758,0.03737781147241659,-8.40473524110763e-16,0.3854629235447241,0.0,0.0
circular_hotspot_trajectory,0,joint_inversion,0.010555532017308881,0.054906649348132275,-6.979659905592684e-16,0.36678160511275143,0.0,0.0
circular_hotspot_trajectory,1,joint_inversion,0.013381726887851398,0.031703292179535936,-1.0542781925249045e-15,0.2269565111585223,0.0,0.0
circular_hotspot_trajectory,2,joint_inversion,0.015422495613230718,0.07363587375527447,-6.728992363314034e-16,0.25502869644744636,0.0,0.0
circular_hotspot_trajectory,3,joint_inversion,0.008207206619685102,0.01435805111984867,-7.062492951570576e-16,0.22759842457731866,0.0,0.0
circular_hotspot_trajectory,4,joint_inversion,0.007245532372096633,0.013418851065885917,-6.477457459297397e-16,0.3191967622527924,0.0,0.0
circular_hotspot_trajectory,5,joint_inversion,0.013733215600582412,0.06682770796233473,-8.364836601160164e-16,0.34143001128193146,0.0,0.0
circular_hotspot_trajectory,6,joint_inversion,0.015443472325428257,0.051793960013954976,-3.550111593586536e-16,0.35082940855296374,0.0,0.0
