arm,target_separation_sigma,realized_separation_sigma,relative_error
UNRESOLVED_IMAGE,0.25,0.24999999999999983,6.661338147750939e-16
UNRESOLVED_IMAGE,0.25,0.24999999999999978,8.881784197001252e-16
UNRESOLVED_IMAGE,0.25,0.2499999999999998,7.771561172376096e-16
UNRESOLVED_IMAGE,1.0,1.0000000000000004,4.440892098500626e-16
UNRESOLVED_IMAGE,1.0,0.9999999999999993,6.661338147750939e-16
UNRESOLVED_IMAGE,1.0,0.9999999999999996,4.440892098500626e-16
UNRESOLVED_IMAGE,1.0,1.0,0.0
UNRESOLVED_IMAGE,1.0,1.0,0.0
UNRESOLVED_IMAGE,1.0,0.9999999999999991,8.881784197001252e-16
UNRESOLVED_IMAGE,1.0,0.9999999999999993,6.661338147750939e-16
UNRESOLVED_IMAGE,1.0,0.9999999999999988,1.2212453270876722e-15
UNRESOLVED_IMAGE,4.0,3.999999999999999,2.220446049250313e-16
UNRESOLVED_IMAGE,4.0,3.9999999999999982,4.440892098500626e-16
UNRESOLVED_IMAGE,4.0,3.999999999999999,2.220446049250313e-16
UNRESOLVED_IMAGE,4.0,4.000000000000002,4.440892098500626e-16
UNRESOLVED_IMAGE,4.0,3.999999999999997,7.771561172376096e-16
UNRESOLVED_IMAGE,4.0,3.9999999999999982,4.440892098500626e-16
UNRESOLVED_IMAGE,4.0,3.9999999999999996,1.1102230246251565e-16
UNRESOLVED_IMAGE,4.0,3.9999999999999964,8.881784197001252e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,0.25,0.24999999999999992,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,1.0,0.9999999999999997,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
TOTAL_FLUX,4.0,3.9999999999999987,3.3306690738754696e-16
