family,index,in_endpoint,min_total,azimuthal_mean_max_abs
three_hotspot_cluster,0,False,0.23312042264701296,6.418476861114186e-17
three_hotspot_cluster,1,False,0.2093397678854273,1.5720931501039814e-17
three_hotspot_cluster,2,False,0.2267261803665029,3.859759734048396e-17
three_hotspot_cluster,3,False,0.3744043421241804,1.3010426069826053e-16
counter_rotating_pair,0,False,0.10900866956003963,2.6508743117270583e-17
counter_rotating_pair,1,False,0.21670630901984628,2.1467203015212988e-17
counter_rotating_pair,2,False,0.2453564116453701,1.8648277366750676e-17
counter_rotating_pair,3,False,0.3625535774283558,5.811323644522304e-17
radially_drifting_arc,0,False,0.17477802149125324,1.3227266504323154e-17
radially_drifting_arc,1,False,0.1399611882553245,4.85722573273506e-17
radially_drifting_arc,2,False,0.14245043307315158,8.239936510889834e-18
radially_drifting_arc,3,False,0.1336369443730872,1.431146867680866e-17
