snr,alpha,arm,estimator,identity_accuracy,median_target_relative_error,p90_target_relative_error,movie_pass_rate,median_active_frame_error,median_minimum_active_correlation
100,0.04,direct,conditional_gls,0.5,1.0,1.0,0.0,1.0,0.0
100,0.04,direct,ridge,0.5,1.0001843632913348,1.0219098238553348,0.0,1.0000083053514603,-0.9999136589324598
100,0.04,direct,tsvd,0.5,1.0,1.0000000000000877,0.0,1.0,0.0
100,0.04,labelled,conditional_gls,0.8916666666666667,1.6052296455815425,2.3181306820778382,0.0,1.6834677986402797,-0.9975420740503201
100,0.04,labelled,ridge,0.8854166666666666,1.7132470114222995,2.7505360828485483,0.0,1.7783604221242222,-0.9984834639157918
100,0.04,labelled,tsvd,0.8854166666666666,1.7400922924432547,2.725329916658529,0.0,1.791539255199675,-0.9984459618974929
100,0.08,direct,conditional_gls,0.5,1.0,1.0,0.0,1.0,0.0
100,0.08,direct,ridge,0.5,1.000075364545305,1.0105776033652827,0.0,1.0000015733681753,-0.9999136589324598
100,0.08,direct,tsvd,0.5,1.0,1.0000000000000437,0.0,0.9999999999999999,0.0
100,0.08,labelled,conditional_gls,0.9916666666666667,0.8026138675072281,1.159070098577365,0.0,0.8417345678510714,-0.9674080734457635
100,0.08,labelled,ridge,0.9833333333333333,0.8572047405898975,1.3759192424087758,0.0,0.8887861639965671,-0.9781608936581575
100,0.08,labelled,tsvd,0.9854166666666667,0.8700481927120753,1.3626687882716124,0.0,0.8957672598168367,-0.9773242318670956
300,0.04,direct,conditional_gls,0.5,1.0,1.0,0.0,1.0,0.0
300,0.04,direct,ridge,0.5,1.0000209092534662,1.0197445618179488,0.0,1.0000007476840493,-0.999915801475048
300,0.04,direct,tsvd,0.5,1.0,1.0000000000000342,0.0,1.0,0.0
300,0.04,labelled,conditional_gls,1.0,0.540012710956842,0.8067769346247092,0.020833333333333332,0.5458361345911596,0.8679530555320512
300,0.04,labelled,ridge,0.9770833333333333,0.8748450023197212,1.7669893676145543,0.008333333333333333,0.8954167366715119,-0.9580962677639383
300,0.04,labelled,tsvd,0.9770833333333333,0.8732704329901038,1.7655966939682664,0.008333333333333333,0.8878683330849506,-0.956523727379215
300,0.08,direct,conditional_gls,0.5,1.0,1.0,0.0,1.0,0.0
300,0.08,direct,ridge,0.5,1.0000061634801458,1.009662663668132,0.0,1.0000001868438526,-0.999915801475048
300,0.08,direct,tsvd,0.5,1.0,1.000000000000017,0.0,1.0,0.0
300,0.08,labelled,conditional_gls,1.0,0.2700060700095479,0.4033890919193467,0.12916666666666668,0.2729163641289725,0.9985758519162243
300,0.08,labelled,ridge,0.9979166666666667,0.437057412759067,0.8839137911932643,0.041666666666666664,0.44799505204266676,0.9865264035469229
300,0.08,labelled,tsvd,0.9979166666666667,0.43663385787673625,0.8827985602603231,0.04583333333333333,0.44393631523149846,0.9866815410883618
