tau,active_cases,pass_rate,median_error,p90_error,median_correlation,p10_correlation
-24.0,160,0.95,0.147250347606301,0.2975256917856785,0.9999997518139078,0.9999985305330699
-22.0,480,0.7958333333333333,0.18899034917102675,0.6148094431245583,0.99999530756682,0.9999257275306987
-20.0,480,0.7416666666666667,0.20467718640309335,0.5645241628263434,0.9999904899830898,0.9998233728861162
-18.0,464,0.7413793103448276,0.2316321739188006,0.5688578008645312,0.99993647967861,0.9985048008546146
-16.0,480,0.7333333333333333,0.17911672091397657,0.6859801182679751,0.9999693901575828,0.9979753176423397
-14.0,472,0.711864406779661,0.20624347763941514,0.6989314671607173,0.9998903653731448,0.9959073803462309
-12.0,480,0.7583333333333333,0.1935791730329015,0.5089342667787571,0.999946931956524,0.9991869842696076
-10.0,480,0.5916666666666667,0.289672673547109,0.8653358881046544,0.9999720836865036,0.9986522566668027
-8.0,464,0.5560344827586207,0.316658207960164,0.9186831495527267,0.9999467224826244,0.9928781551027004
