subset,n_orders,s1,s2,s3,s4,s5,n_operational_conditional,n_operational_known,information_conditional,information_known,nuisance_rank,operational_subspace_dim,principal_angles_deg_vs_full_two_mode,max_principal_angle_deg
0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,140,0,,
1,1,1.394748325056395,1.2705796033330146,0.7491242383380882,0.6892347342901085,0.5942459890220887,2,3,6.0737901306115205,10.473701942936493,120,2,2.4416;1.6261,2.4416112306089093
2,1,0.22569326388462738,0.22099426657265941,0.19714601155001982,0.17345441683008903,0.1667485156321441,0,0,0.417208195266299,0.579958198715003,96,0,,
01,2,1.4097846220742654,1.2954470688261808,0.7605707131126461,0.6935096902426576,0.60031970244293,2,3,6.27681043234171,10.473701942936495,148,2,3.2121;1.3642,3.2120677286026513
02,2,0.23558638786918049,0.22623115957241255,0.21033111638215812,0.1906469045979353,0.1710223413029036,0,0,0.4546198020109127,0.5799581987150026,152,0,,
12,2,1.416576983301238,1.3209890889349047,0.7926214708946803,0.7065857532803939,0.6459026269754714,2,3,6.983963749022758,11.0536601416515,124,2,1.9115;0.4522,1.9114691012816358
012,3,1.4371649013558634,1.3458732686433825,0.8062804378838909,0.7117333935908874,0.6531315669702753,2,3,7.198318097661488,11.0536601416515,152,2,0.0000;0.0000,1.433447971967311e-14
