scenario,method,training_quadrature,median,min,max
background,data_only,3,0.22741158290069688,0.170365305120943,0.2274850533404977
background,data_only,8,0.2194707796754218,0.1696999574928232,0.23265332895837565
background,robust_pinn,3,0.21992651592655002,0.16353696967937406,0.22420911375661684
background,robust_pinn,8,0.2186587792427603,0.16973488702302056,0.22886931263901425
events,data_only,3,0.1578338968524192,0.13293057796353577,0.16160198553173008
events,data_only,8,0.16067055942589653,0.13151744586374106,0.16280473022087125
events,robust_pinn,3,0.15622019894454214,0.1236325589132022,0.16039145759074316
events,robust_pinn,8,0.15420694638822055,0.12195874404853503,0.16042058237733875
